"","WORD","FREQ"
"319794","venezolanos",468
"101237","hermano",467
"80","🤔",464
"214589","im",464
"297952","serie",464
"83322","ex",463
"317445","usa",463
"220443","ja",462
"320930","viaje",462
"299472","siguen",461
"33028","boca",460
"273121","plan",460
"305002","sueños",460
"17106","alto",459
"296746","segundo",457
"284866","recien",455
"264525","pagar",454
"235037","lleva",453
"237060","lucha",453
"54","😘",452
"279420","proyecto",452
"247436","metro",450
"300465","sistema",450
"297408","sentido",449
"44430","chavez",448
"290357","rio",448
"56127","cree",447
"215611","incendios",446
"274534","politico",444
"18015","america",443
"262414","oportunidad",442
"79","🙄",441
"108","😒",441
"93325","gano",441
"323882","vuelve",441
"102614","hombres",440
"38303","campeon",438
"234951","llegue",438
"240569","mando",438
"320681","ves",438
"266756","partidos",437
"286353","region",437
"30980","bendiciones",436
"62891","derechos",434
"323616","voto",433
"312568","totalmente",430
"29906","basta",429
"52115","congreso",428
"54264","copa",427
"24967","asco",426
"70395","doy",426
"215147","imposible",426
"254073","muro",422
"271846","pide",422
"59249","dando",421
"282343","quisiera",421
"242693","mariobautista",420
"261101","oficial",420
"281737","querido",420
"283513","rapido",420
"68107","directo",419
"282666","radio",419
"42373","cdmx",418
"300541","situacion",418
"281299","quede",415
"276918","prensa",414
"310370","tierra",414
"46722","cine",413
"293553","sacar",413
"14927","alcalde",411
"67413","diga",409
"67565","dije",409
"225944","jugadores",409
"52887","constitucion",408
"64186","deseo",408
"225781","juega",408
"75769","empieza",407
"28007","ayudar",406
"245330","media",406
"270232","perfecto",405
"316025","ud",405
"36665","cae",404
"303610","sr",404
"264563","pagina",403
"322857","vive",403
"50","😢",402
"317305","urgente",402
"88118","fiesta",398
"9790","acaba",396
"36711","cafe",396
"66373","dialogo",396
"75905","empresa",396
"271963","pienso",396
"30775","bella",395
"213352","i",395
"290443","risa",395
"296729","segunda",394
"94182","general",393
"218472","internacional",387
"284402","realmente",387
"244776","mayoria",386
"254539","n",386
"59992","datos",385
"61626","deje",385
"98873","gustaria",385
"266511","parque",385
"19343","anda",384
"234482","listo",384
"263839","oye",384
"48004","club",383
"280295","puesto",383
"78298","entrar",382
"221046","jajajajajaja",382
"228813","l",382
"248509","miguel",382
"269494","pensando",382
"279684","psoe",382
"296674","seguimos",382
"50357","compartir",381
"61287","defensa",381
"101648","hicieron",381
"270382","periscope",381
"320137","verano",381
"328087","zona",381
"24681","articulo",380
"260500","obvio",380
"263976","pablo",380
"269542","pense",380
"64","😔",379
"58198","cultura",379
"71003","duele",379
"80110","escuchando",379
"101640","hice",379
"234259","linea",379
"10227","acerca",378
"66920","diciembre",378
"265874","par",378
"312784","trabajando",378
"281944","quiera",376
"325762","xq",376
"79453","error",375
"232275","lejos",375
"280142","pueda",375
"316937","universidad",375
"241782","marcha",373
"319571","vemos",373
"273453","playa",372
"321684","vieja",372
"321714","viejo",372
"230611","larepublicape",371
"214596","imagen",370
"246929","merece",370
"294033","salio",370
"24589","arte",369
"217208","inicio",369
"249435","ministro",369
"253301","muero",369
"259746","numero",369
"262011","onda",369
"270676","perro",369
"293370","sabia",369
"37676","cama",368
"97314","gratis",368
"60526","debemos",367
"37269","calidad",365
"86820","felices",365
"274374","policia",365
"276820","premio",365
"241465","mar",364
"56149","creen",362
"235077","llevar",362
"62211","democracia",361
"243199","martes",361
"268552","pedir",361
"320632","verte",361
"51275","concierto",360
"316789","unidos",360
"15349","alegria",359
"44945","chicos",359
"281255","quedan",359
"58960","dado",358
"59859","darle",358
"263041","oro",358
"78","🎶",357
"296390","sector",357
"297447","sentir",357
"301372","sociedad",357
"57461","cuatro",356
"22554","aprender",355
"56454","crisis",355
"82495","estudiar",354
"78013","entender",353
"262654","orden",353
"305834","sur",353
"309302","terminar",352
"258706","normal",351
"235482","loca",350
"270823","personal",350
"283612","raro",350
"322791","viva",350
"66879","dices",349
"230953","lastima",349
"259303","novio",349
"281667","querer",349
"235021","lleno",348
"225965","jugando",347
"313779","trata",347
"35876","buscar",346
"252054","morir",346
"32246","biobio",345
"59932","das",345
"257404","ninguna",345
"296709","seguirme",345
"246625","mente",344
"57399","cuantos",343
"61645","dejen",343
"264827","palabra",343
"269596","peña",343
"52345","conoce",342
"99282","hablan",342
"319047","varios",342
"24293","arriba",341
"42799","celular",341
"256055","necesitamos",340
"299329","siga",340
"11403","adelante",339
"29987","basura",339
"294283","saludo",339
"310282","tiempos",339
"324419","web",339
"34359","brasil",338
"250108","mismos",338
"285405","recuerda",338
"320913","viajar",338
"309335","termino",337
"268620","pedro",336
"35831","busca",335
"298862","show",335
"29114","banda",334
"30443","bebe",334
"33659","bonita",334
"44840","chica",334
"270352","periodista",334
"280682","puro",334
"99675","hagan",333
"69880","don",332
"72741","eh",332
"321639","videos",332
"87366","feo",331
"246284","memoria",331
"26392","atras",330
"99497","hacerlo",330
"264679","paises",330
"266929","pasan",330
"91600","fuego",329
"235301","lluvia",329
"271027","perupe",329
"307159","tantas",329
"279829","publica",328
"281714","querida",328
"286336","regimen",328
"40873","carrera",327
"71300","duro",327
"259600","nuevas",327
"280555","puntos",327
"28673","baja",326
"247111","mesa",326
"317571","uso",326
"80005","escribir",325
"279392","proximo",325
"293310","sabemos",325
"60623","debo",324
"18170","amigas",323
"39598","carajo",323
"67466","digital",323
"217862","instagram",323
"20403","animo",322
"35858","buscando",322
"49497","color",322
"300386","sirve",322
"101785","hija",321
"241615","marca",321
"250146","miss",321
"250199","missuniverse",321
"225934","jugador",320
"256016","necesario",320
"246658","mentira",319
"277253","presente",319
"299231","siente",319
"53776","control",318
"83964","experiencia",318
"260281","obra",318
"302434","sonrisa",318
"38648","canciones",317
"76631","encontrar",317
"248346","miercoles",317
"297733","seran",317
"94250","genero",316
"308777","temprano",316
"61564","dejan",315
"31442","beso",314
"67292","diferencia",314
"103039","horrible",313
"271120","pesar",313
"68512","disfrutar",312
"69379","doble",312
"81671","estara",312
"86665","federer",312
"101206","hermana",312
"286792","relacion",312
"292426","rppnoticias",312
"20325","animales",311
"32595","blanco",311
"237843","luna",311
"257455","niña",311
"260126","obama",311
"318996","vargas",311
"47475","clases",310
"57307","cualquiera",310
"91512","ft",310
"224847","jovenes",310
"265212","pan",310
"222740","jesus",309
"311743","toma",309
"319999","venta",309
"39315","capitulo",308
"261445","ok",308
"27539","avion",307
"309425","terrible",307
"297545","señores",306
"308889","tenes",306
"317494","usar",306
"39924","cargo",305
"289229","reunion",305
"319788","venezolano",305
"47123","ciudadanos",304
"62855","derecha",304
"262824","orgullo",304
"276068","ppk",304
"308419","telefono",304
"321300","victoria",304
"42163","cc",303
"293989","salida",303
"79457","errores",302
"288743","resto",302
"16595","alli",301
"49129","colegio",301
"86593","fecha",301
"308165","tecnologia",301
"5753","😂😂😂😂",300
"215602","incendio",300
"224141","jorge",300
"289589","revolucion",300
"312764","trabajadores",300
"69900","donald",299
"262441","oposicion",299
"297530","señora",299
"320614","version",299
"20568","anoche",298
"39735","carcel",298
"80989","esperanza",298
"259273","novia",298
"286026","reforma",298
"321763","vienen",298
"322640","vista",298
"99375","hablo",297
"220959","jajajaj",297
"276738","pregunto",297
"279384","proxima",297
"33539","bomberos",295
"225500","juanmansantos",295
"278228","proceso",295
"294649","sanchez",295
"74845","eltiempo",294
"295253","santos",294
"29078","banco",293
"253194","mud",293
"253372","muestra",293
"289670","rey",293
"35074","bs",292
"60927","decision",292
"71774","economia",292
"82648","etc",292
"280629","pura",292
"111","😱",291
"274165","podrian",291
"307185","tantos",291
"71881","edad",290
"299467","siguemeytesigo",290
"99441","hacemos",289
"40007","cariño",288
"59066","dale",288
"89844","fondo",288
"297030","semanas",288
"316953","universo",288
"57770","cuento",287
"233582","lider",287
"28264","b",286
"269129","pelo",286
"104","😎",285
"55145","corruptos",285
"78262","entrada",285
"93430","garcia",285
"271945","piensa",285
"274799","ponen",285
"302038","solucion",285
"313869","traves",285
"60476","debate",284
"74417","elnacionalweb",284
"50035","comienza",283
"66986","dictadura",283
"76941","energia",283
"262222","opcion",283
"269040","peliculas",283
"61386","definitivamente",282
"307406","tardes",282
"96357","google",281
"98855","gustan",281
"222432","jefe",281
"253358","muertos",281
"258772","norte",281
"279486","prueba",281
"290939","robo",281
"322572","visita",281
"32754","blog",280
"79015","equipos",280
"234969","llena",280
"261976","on",280
"273068","placer",280
"304921","suena",280
"11570","adios",279
"57932","cuidado",279
"66048","di",279
"90902","frase",279
"220866","jajaj",279
"264579","pago",279
"319976","venir",279
"137","😁",278
"254848","nadal",278
"274862","pongo",278
"291370","rodriguez",278
"83798","exitos",277
"213670","ideas",277
"233470","libros",277
"277216","presentacion",277
"296857","seleccion",277
"22450","app",276
"29934","bastante",276
"51795","confianza",276
"56194","crees",276
"60557","debes",276
"253285","muere",276
